"* Required Fields","* Champs obligatoires"
"Comment","Votre commentaire"
"Contact Form","Formulaire de contact"
"Contact Information","Vos coordonnées personnelles"
"Contact Us","Contactez-nous"
"Contact Us Form","Formulaire de contact"
"Contacts","Contacts"
"Contacts Section","Section de contacts"
"Email","Email"
"Email Options","Options d'email"
"Email Sender","Expéditeur de l'email"
"Email Template","Modèle d'email"
"Enable Contact Us","Activer contatez-nous"
"Name","Nom"
"Send Emails To","Envoyer emails à"
"Submit","Envoyer"
"Telephone","Téléphone"
"Unable to submit your request. Please, try again later","Impossible de soumettre votre requête. Veuillez réessayer plus tard."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Votre requète a été envoyée. Nous y répondrons avec attention et dans les plus brefs délais."
